,SERPINA3,PMEL,DCT,IFITM1,APOD,A2M,IFI27,APOC2,RGS1,SPP1,CAPG,TM4SF1,TYR,CTSK,PMEL,MIA,APOD,SERPINA3,MT2A,IFI27,DCT,SLC45A2,TYR,APOC2,CAPN3,APOE,TIMP1,SPP1,TMSB4X,CXCR4,RGS1,ARHGDIB,VIM,IFITM1,HSP90AA1,GZMA,IL32,HSP90AB1,IL2RG,SAT1,PTPRC,CD74,group
Cy81_FNA_CD45_B01_S301_comb,7.9262,0,0,7.2682,4.295,6.3873,0,0,0,4.0053,0,6.0876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_B07_S883_comb,7.4872,9.2967,0,6.899,8.7769,0,6.0101,2.6613,2.9121,0,7.7331,5.6527,6.0496,3.5826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_Bulk_CD45_B10_S118_comb,6.3451,0,0.98768,7.5923,0,5.3911,0,0,0,3.9163,2.2038,5.018,0,5.0802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy71_CD45_B05_S497_comb,0,7.5117,3.7673,4.4787,0,2.8398,5.6004,3.5185,0,2.5573,2.7429,0,6.227,4.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_C09_S897_comb,4.9392,8.2608,0,5.4196,6.2662,3.3672,3.4558,2.8313,3.5213,0,7.1891,0,6.4841,5.9303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_FNA_CD45_E05_S341_comb,7.2631,0,0,8.304,6.586,6.8189,0,0,0,6.4964,0,4.4557,0,3.4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_Bulk_CD45_E10_S154_comb,4.8711,0,0,6.5669,1.0144,2.4962,0,0,0,5.4622,0,4.9751,0,0.38736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_H07_S955_comb,7.2381,10.162,0,6.5299,9.6628,0.92979,4.8164,0,0,0,7.3545,2.9809,6.563,6.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_FNA_CD45_D09_S333_comb,5.9749,0,0,7.3557,6.2231,7.856,0,0,0,7.4761,0,6.7024,0,4.0727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy71_CD45_E12_S540_comb,0,5.6999,2.0854,7.6715,5.2939,0,8.4645,0,0,0,0,0,5.7574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_H09_S957_comb,0,10.282,3.2101,5.1608,8.1471,5.1967,6.1258,4.3008,5.9916,0,8.8636,3.6972,6.7438,5.2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_B11_S887_comb,4.693,9.9168,0,4.6971,7.7885,3.6021,4.365,0,0,0,6.2388,0,6.8313,4.7348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_Bulk_CD45_E04_S148_comb,6.3254,0,0,6.5116,0,5.818,0,0,0,5.5608,4.0979,5.5537,0,4.9831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_D11_S911_comb,0,8.7949,5.2386,6.5217,4.702,0,4.8125,4.3011,6.2498,0,7.9447,5.378,7.7166,6.6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy71_CD45_E11_S539_comb,0,7.9146,5.7808,4.2262,2.8939,0,6.2778,0,0,0,0,0,5.8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy81_FNA_CD45_C09_S321_comb,6.608,0,0,7.8056,5.5947,6.2409,0,0,0,5.8442,2.3499,7.071,0,3.2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy80_II_CD45_G07_S943_comb,3.5663,9.0137,0,4.4564,7.8461,0,6.0312,3.4954,4.9434,0,7.5717,5.2314,5.2791,4.4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cy71_CD45_G08_S560_comb,0,3.8655,0,4.6161,0,5.5181,6.8487,0,0,0,0,0,3.9842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
