,PMEL,MIA,APOD,SERPINA3,MT2A,IFI27,DCT,SLC45A2,TYR,APOC2,CAPN3,APOE,TIMP1,SPP1,group
Cy71_CD45_D08_S524_comb,8.7935,0.0,0.0,0.0,0.0,4.3542,6.9888,4.1634,4.9296,0.0,8.1209,7.5636,0.0,0.0,2.0
Cy71_CD45_G02_S554_comb,10.007,0.0,5.4014,0.0,4.3805,7.2008,5.2934,0.0,6.2839,0.0,8.7621,5.3351,0.0,0.0,2.0
Cy81_FNA_CD45_G10_S370_comb,0.0,6.7662,5.2327,5.6798,6.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1436,5.7673,2.0
Cy71_CD45_H06_S570_comb,0.0,0.0,1.5261,0.0,5.3233,7.4293,3.4206,0.0,0.0,0.0,6.6657,0.0,0.0,0.0,2.0
Cy71_CD45_G09_S561_comb,1.1648,0.0,0.0,0.0,6.4046,5.5036,0.0,0.0,6.9945,0.0,0.0,0.0,3.573,0.0,2.0
Cy81_FNA_CD45_B10_S310_comb,0.0,4.8803,4.9108,5.7961,8.9041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6001,6.2925,2.0
Cy71_CD45_H10_S574_comb,0.0,0.0,5.5452,0.0,0.0,6.6457,7.2949,3.9959,5.7922,0.0,6.6984,4.394,0.0,0.0,2.0
Cy81_Bulk_CD45_C06_S126_comb,0.0,0.0,4.4513,7.7641,9.5819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811,8.3469,2.0
Cy81_Bulk_CD45_B01_S109_comb,0.0,0.71282,0.0,8.1792,10.527000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5974,6.376,2.0
Cy71_CD45_E10_S538_comb,7.9218,0.0,0.0,0.0,6.2785,6.7481,5.8409,0.0,7.0909,0.0,8.1331,6.7377,0.0,0.0,2.0
Cy71_CD45_B12_S504_comb,7.0724,0.0,4.996,0.0,0.0,4.9076,7.037999999999999,0.0,5.3757,0.0,6.3593,0.0,0.0,0.0,2.0
Cy81_Bulk_CD45_A11_S107_comb,0.0,6.3624,2.639,7.1203,9.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2592,5.1998,2.0
Cy71_CD45_E02_S530_comb,6.4095,0.0,3.7653,0.0,5.8368,8.1036,1.3063,4.7027,5.7911,0.0,6.7207,0.0,4.6367,0.0,2.0
Cy71_CD45_B03_S495_comb,10.095,0.0,4.695,0.0,0.0,7.7778,8.0155,0.0,5.4924,0.0,8.81,5.4879999999999995,0.0,0.0,2.0
Cy81_Bulk_CD45_C05_S125_comb,0.0,4.9119,0.0,7.5535,8.5283,0.0,0.0,0.0,0.0,0.0,0.0,5.7687,7.653,0.0,2.0
Cy71_CD45_F01_S541_comb,7.3126,0.0,2.6422,0.0,0.0,6.8353,7.1437,4.6214,6.6493,0.0,7.8262,6.8379,4.0361,0.0,2.0
Cy71_CD45_F07_S547_comb,6.8064,0.0,3.6587,0.0,4.1032,7.1253,7.0382,4.9277,6.1533,0.0,7.0618,5.1999,0.0,0.0,2.0
Cy81_FNA_CD45_H09_S381_comb,0.0,7.3894,8.3988,6.9906,8.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9513,5.6254,2.0
Cy71_CD45_E05_S533_comb,8.4961,0.0,5.6557,0.0,7.4499,7.3135,4.7732,0.0,6.9994,0.0,7.7344,7.7467,5.2237,0.0,2.0
Cy81_Bulk_CD45_A08_S104_comb,0.0,7.8976,5.6024,7.0642,8.7536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4373,5.7281,2.0
Cy71_CD45_H12_S576_comb,6.6301,0.0,5.331,0.0,5.9843,0.0,5.558,4.7032,3.4999,0.0,6.4467,5.8371,0.0,0.0,2.0
Cy81_Bulk_CD45_A02_S98_comb,0.0,0.0,0.0,1.9891,9.6626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7866,0.0,2.0
